"folioviv","foliohog","ubica_geo","tam_loc","clase_hog","sexo_jefe","edad_jefe","educa_jefe","tot_integ","mayores","p12_64","ocupados","percep_ing","perc_ocupa","ing_cor","ingtrab","trabajo","sueldos"
160019007,1,1001,4,3,1,21,6,4,3,3,2,2,2,35767.17,31578.24,28809.77,27880.43
160019219,1,1001,4,3,1,92,1,6,4,3,2,3,2,39114.09,35932.1,35932.1,34806.62
160019220,1,1001,4,2,2,41,4,5,4,4,3,4,3,29894.38,22276.23,22276.23,22276.23
160019221,1,1001,4,2,1,47,1,5,4,4,2,5,2,23564.54,19814.9,13251.37,13127.07
160019222,1,1001,4,2,1,26,4,4,2,2,1,2,1,25509.87,23270.71,23270.71,23270.71
160019225,1,1001,4,2,2,38,4,2,2,2,2,2,2,18936.4,17194.47,0,0
160019227,1,1001,4,2,2,35,6,4,2,2,1,4,1,13546.12,7756.9,7756.9,7756.9
160019228,1,1001,4,2,1,56,3,3,2,2,2,3,2,39373.44,33317.75,25212.78,16806.62
160019230,1,1001,4,2,1,27,6,4,2,2,1,1,1,25933.82,18273.47,18273.47,17900.55
160019608,1,1001,4,2,1,48,1,6,5,5,4,6,4,51678.65,48049.16,48049.16,48049.16
160019609,1,1001,4,1,1,30,3,1,1,1,1,1,1,28273.74,25573.77,25573.77,25573.77
160019610,1,1001,4,2,1,28,3,4,2,2,2,2,2,13991.79,13868.84,11901.63,11901.63
160019611,1,1001,4,3,2,49,3,3,3,3,2,3,2,43347.52,34495.07,19180.32,19180.32
160019611,2,1001,4,2,1,20,3,2,2,2,1,2,1,23827.86,23729.5,23729.5,23606.55
160019612,1,1001,4,2,1,33,4,4,2,2,1,1,1,10229.5,10229.5,10229.5,10229.5
160019713,1,1001,4,3,2,76,3,4,2,1,0,1,0,8283.66,0,0,0
160019714,1,1001,4,2,1,48,4,3,3,3,1,3,1,24188.67,19723.1,1414.26,0
160019715,1,1001,4,2,1,30,5,4,2,2,1,1,1,30725.74,27125.74,27125.74,23606.55
160019716,1,1001,4,2,1,43,3,5,4,4,2,4,2,36070.93,29655.72,21737.69,21245.89
160019718,1,1001,4,1,1,25,4,1,1,1,1,1,1,14541.13,6098.35,6098.35,5901.63
160021308,1,1001,4,2,2,46,11,3,3,3,1,3,1,94534.4,66521.73,62119.56,49891.3
160021309,1,1001,4,2,1,32,10,3,2,2,1,1,1,125055.21,116926.18,116926.18,114456.52
160021310,1,1001,4,2,1,50,9,2,2,2,2,2,2,123886.84,113725.55,90247.29,63097.81
160021312,1,1001,4,2,1,50,10,3,3,3,3,3,3,223430.3,208330.38,204554.31,151434.76
160021502,1,1001,4,2,1,26,8,3,2,2,1,1,1,40230.97,40230.97,40230.97,36684.78
160021503,1,1001,4,2,1,59,9,3,3,3,3,3,3,106260.4,82296.17,82296.17,63831.51
160021504,1,1001,4,2,1,58,10,2,2,2,2,2,2,162249.36,32771.73,32771.73,29347.82
160021505,1,1001,4,2,1,50,8,3,3,3,1,2,1,71638.65,63891.46,63891.46,49891.3
160021506,1,1001,4,2,1,36,8,5,3,3,2,1,1,134286.79,122527.16,122527.16,117391.3
160021819,1,1001,4,2,1,30,11,3,2,2,2,2,2,95123.55,60811.46,60221.3,58032.78
160021821,1,1001,4,2,1,43,6,4,4,4,3,3,3,50835.22,41685.22,41439.32,39226.22
160021822,1,1001,4,2,1,41,8,4,4,4,2,3,2,50690.14,38690.14,33934.41,29508.19
160021914,1,1001,4,2,1,38,8,5,4,4,1,5,1,118173.88,107168.46,71021.73,41673.91
160021915,1,1001,4,3,1,39,8,3,3,3,2,3,2,99332.91,73369.54,64565.2,60163.03
160021916,1,1001,4,2,1,32,8,4,2,2,2,2,2,51664.93,47152.13,47152.13,41722.81
160021918,1,1001,4,2,1,29,8,3,2,2,2,3,2,65391.09,62211.75,62211.75,53755.41
160022007,1,1001,4,2,2,33,10,5,3,3,0,1,0,39087.14,3913.04,0,0
160022008,1,1001,4,2,2,33,8,4,3,3,2,4,2,34971.1,20415.13,20415.13,17843.46
160022009,1,1001,4,2,1,36,8,4,2,2,2,2,2,51246.65,45440.2,45440.2,36391.29
160022010,1,1001,4,1,1,32,10,1,1,1,1,1,1,33016.29,33016.29,33016.29,29347.82
160022401,1,1001,4,1,1,44,5,1,1,1,1,1,1,13757.12,8804.34,1173.91,1173.91
160022402,1,1001,4,2,1,41,7,5,5,5,5,5,5,46325.28,38033.07,30182.54,19149.42
160022403,1,1001,4,2,1,27,6,4,2,2,1,3,1,41128.72,40541.78,27041.79,11152.17
160022404,1,1001,4,2,1,28,6,2,2,2,2,2,2,48866.56,43553.67,43553.67,35804.34
160022405,1,1001,4,3,1,50,6,13,7,7,5,8,5,116991.71,105945.59,105652.12,63391.28
160022406,1,1001,4,1,1,39,6,1,1,1,1,1,1,40319.67,35964.84,35964.84,23184.77
160022613,1,1001,4,2,1,37,9,2,2,2,2,2,2,57344.23,57344.23,57344.23,54885.23
160022614,1,1001,4,2,1,28,8,4,2,2,1,3,1,43106.52,22622.93,21786.87,12442.62
160022615,1,1001,4,2,1,32,8,3,2,2,2,2,2,34209.82,34209.82,30737.69,0
160022616,1,1001,4,2,2,30,9,2,2,2,2,2,2,35877.04,31377.04,26065.57,26065.57
160022617,1,1001,4,2,2,40,7,2,1,1,1,2,1,73181.19,59016.39,59016.39,59016.39
160022618,1,1001,4,3,1,45,8,6,5,4,3,4,3,165690.94,101213.09,101213.09,60393.43
160022719,1,1001,4,2,1,39,10,4,2,2,2,4,2,47920.53,33592.92,31822.43,20655.73
160022720,1,1001,4,2,1,46,6,6,5,5,5,5,5,146247.87,138492.85,47397.12,39147.52
160022721,1,1001,4,3,1,23,6,2,2,2,2,2,2,112672.11,112672.11,20901.63,20065.57
160022722,1,1001,4,1,1,24,8,1,1,1,1,1,1,33135.92,33135.92,33135.92,27147.54
160022723,1,1001,4,2,2,25,9,2,1,1,1,2,1,76116.4,41625.03,41625.03,26557.37
160022724,1,1001,4,1,1,26,8,1,1,1,1,1,1,9747.5,5522.21,5522.21,2950.81
160028201,1,1002,4,3,1,73,3,5,5,3,2,5,2,36982.41,25095.52,25045.8,17527.62
160028202,1,1002,4,3,2,67,3,2,1,0,1,2,1,18720.75,845.3,845.3,845.3
160028203,1,1002,4,2,1,64,6,3,3,3,3,3,3,27152.37,22276.24,22276.24,22276.24
160028204,1,1002,4,3,2,65,3,3,3,2,1,2,1,33135.26,397.79,397.79,397.79
160028205,1,1002,4,2,1,53,3,3,3,3,2,2,2,34218.25,31995.22,15762.42,15513.81
160028206,1,1002,4,1,2,84,3,1,1,0,1,1,1,6001.12,1301.76,0,0
160028313,1,1002,4,3,1,49,3,5,4,4,2,4,2,34030.04,27195.64,18782.6,18782.6
160028314,1,1002,4,2,1,48,7,7,6,6,5,6,6,48318.95,45415.73,45415.73,45293.45
160028315,1,1002,4,2,1,33,6,4,2,2,1,2,1,37930.92,36303.24,36303.24,14292.38
160028316,1,1002,4,2,1,39,8,7,5,5,1,1,1,39572.22,35217.39,35217.39,35217.39
160028317,1,1002,4,2,1,28,10,5,2,2,1,4,1,84734.71,79092.37,79092.37,48521.73
160028318,1,1002,4,2,2,58,4,2,2,2,1,1,1,25966.46,0,0,0
160028508,1,1002,4,2,1,47,5,5,4,4,3,3,3,2310762,24407.6,23184.78,23184.78
160028509,1,1002,4,2,1,52,4,3,3,3,3,3,3,30181.87,12180.31,11201.08,11201.08
160028510,1,1002,4,3,1,46,6,7,5,5,2,2,1,37700.52,28659.51,28659.51,17828.8
160028511,1,1002,4,2,1,52,6,5,5,5,4,5,5,38575.46,35329.86,31074.43,30609.76
160028919,1,1002,4,2,1,85,1,2,2,0,0,2,0,21985.61,0,0,0
160028920,1,1002,4,2,1,38,6,5,4,4,1,3,1,22600.49,13010.86,13010.86,11739.13
160028921,1,1002,4,2,1,45,3,2,2,2,2,2,2,24864.18,21960.96,12032.6,12032.6
160028922,1,1002,4,2,1,34,9,5,2,2,2,3,2,60930.26,57446.39,48463.03,22597.82
160028923,1,1002,4,2,1,31,6,5,2,2,1,1,1,30004.25,25649.42,23692.9,17804.34
160028924,1,1002,4,2,1,35,8,3,2,2,1,2,1,35674.95,32771.73,22989.13,22989.13
160041013,1,1003,4,2,1,71,5,2,2,1,2,2,2,218172.95,17608.69,17608.69,5869.56
160041014,1,1003,4,1,2,62,1,1,1,1,0,1,0,10318.57,0,0,0
160041015,1,1003,4,2,1,41,6,4,2,2,1,2,1,28716.14,27088.04,0,0
160041016,1,1003,4,2,2,92,3,2,2,0,0,1,0,12392.33,0,0,0
160041017,1,1003,4,2,1,57,1,2,2,2,1,2,1,10313.92,4304.34,4304.34,4304.34
160041018,1,1003,4,2,1,40,8,5,4,4,1,1,1,23964.17,22255.42,22255.42,21032.6
160041018,2,1003,4,3,1,79,3,2,2,1,2,2,2,10036.94,7160.86,5869.56,5869.56
160041407,1,1003,4,2,2,62,6,2,2,2,1,1,1,13138.66,11396.73,11396.73,11152.17
160041408,1,1003,4,2,1,28,7,4,2,2,2,2,2,23184.74,23184.74,23184.74,22304.33
160041409,1,1003,4,3,1,66,4,6,4,3,1,2,1,28172.79,14380.42,14380.42,14086.95
160041410,1,1003,4,2,2,33,6,3,1,1,1,1,1,15456.5,5184.77,5184.77,3961.95
160041411,1,1003,4,2,1,66,4,2,2,0,1,2,1,14397.9,0,0,0
160041412,1,1003,4,3,1,43,4,6,4,4,3,5,3,18053.04,13524.57,13524.57,12521.73
160041619,1,1003,4,2,1,50,4,8,4,4,2,4,2,34810.76,27122.94,27122.94,27122.94
160041620,1,1003,4,2,2,37,6,2,2,2,2,2,2,55032.77,55032.77,55032.77,52819.66
